84_121550_000007_000000	Purgatorio: Canto XXVIII	Purgatorio: Canto twenty eight
84_121550_000010_000000	A softly-breathing air, that no mutation Had in itself, upon the forehead smote me No heavier blow than of a gentle wind,	A softly breathing air, that no mutation Had in itself, upon the forehead smote me No heavier blow than of a gentle wind,
84_121550_000012_000000	Yet not from their upright direction swayed, So that the little birds upon their tops Should leave the practice of each art of theirs;	Yet not from their upright direction swayed, So that the little birds upon their tops Should leave the practice of each art of theirs;
84_121550_000013_000000	But with full ravishment the hours of prime, Singing, received they in the midst of leaves, That ever bore a burden to their rhymes,	But with full ravishment the hours of prime, Singing, received they in the midst of leaves, That ever bore a burden to their rhymes,
84_121550_000015_000000	Already my slow steps had carried me Into the ancient wood so far, that I Could not perceive where I had entered it.	Already my slow steps had carried me Into the ancient wood so far, that I Could not perceive where I had entered it.
84_121550_000019_000000	With feet I stayed, and with mine eyes I passed Beyond the rivulet, to look upon The great variety of the fresh may.	With feet I stayed, and with mine eyes I passed Beyond the rivulet, to look upon The great variety of the fresh may.
84_121550_000020_000000	And there appeared to me (even as appears Suddenly something that doth turn aside Through very wonder every other thought)	And there appeared to me (even as appears Suddenly something that doth turn aside Through very wonder every other thought)
84_121550_000023_000000	May the desire come unto thee to draw Near to this river's bank," I said to her, "So much that I might hear what thou art singing.	May the desire come unto thee to draw Near to this river's bank," I said to her, "So much that I might hear what thou art singing.
84_121550_000024_000000	Thou makest me remember where and what Proserpina that moment was when lost Her mother her, and she herself the Spring."	Thou makest me remember where and what Proserpina that moment was when lost Her mother her, and she herself the Spring."
84_121550_000028_000000	As soon as she was where the grasses are. Bathed by the waters of the beauteous river, To lift her eyes she granted me the boon.	As soon as she was where the grasses are. Bathed by the waters of the beauteous river, To lift her eyes she granted me the boon.
84_121550_000029_000000	I do not think there shone so great a light Under the lids of Venus, when transfixed By her own son, beyond his usual custom!	I do not think there shone so great a light Under the lids of Venus, when transfixed By her own son, beyond his usual custom!
84_121550_000030_000000	Erect upon the other bank she smiled, Bearing full many colours in her hands, Which that high land produces without seed.	Erect upon the other bank she smiled, Bearing full many colours in her hands, Which that high land produces without seed.
84_121550_000031_000000	Apart three paces did the river make us; But Hellespont, where Xerxes passed across, (A curb still to all human arrogance,)	Apart three paces did the river make us; But Hellespont, where Xerxes passed across, (A curb still to all human arrogance,)
