8842_302196_000000_000000	Images of the original pages are available through Internet Archive/American Libraries.	Images of the original pages are available through Internet Archive/American Libraries.	false	1.8	11.25	18
8842_302196_000000_000001	See http://archive.org/details/newlifelavitanuo00dantrich	See h t t p colon slash slash archive dot org slash details slash newlifelavitanuo o o dantrich	false	11.25	17.79	15
8842_302196_000001_000000	The Siddal Edition	The Siddal Edition	false	17.79	18.72	14
8842_302196_000002_000000	THE NEW LIFE	THE NEW LIFE	true	18.72	19.56	14
8842_302196_000003_000000	(LA VITA NUOVA)	(l a VITA NUOVA)	false	19.56	20.61	16
8842_302196_000004_000000	of	of	false	20.61	20.94	36
8842_302196_000005_000000	DANTE ALIGHIERI	DANTE ALIGHIERI	true	20.94	22.12	12
8842_302196_000006_000000	Translated by Dante Gabriel Rossetti	Translated by Dante Gabriel Rossetti	true	22.4	24.72	13
8842_302196_000007_000000	Ellis and Elvey London 1899	Ellis and Elvey London eighteen ninety nine	false	24.72	24.96	-20
8842_302196_000008_000000	Printed by Hazell, Watson, & Viney, Ld., London and Aylesbury.	Printed by Hazell, Watson, and Viney, l d., London and Aylesbury.	false	24.96	25.38	-6
8842_302196_000009_000000	_PREFATORY NOTE_	underscore PREFATORY NOTE underscore	false	25.38	26.97	21.610088
8842_302196_000010_000000	Dante Gabriel Rossetti, being the son of an Italian who was greatly immersed in the study of Dante Alighieri, and who produced a Comment on the _Inferno_, and other books relating to Dantesque literature, was from his earliest childhood familiar with the name of the stupendous Florentine, and to some extent aware of the range and quality of his writings.	Dante Gabriel Rossetti, being the son of an Italian who was greatly immersed in the study of Dante Alighieri, and who produced a Comment on the underscore Inferno underscore, and other books relating to Dantesque literature, was from his earliest childhood familiar with the name of the stupendous Florentine, and to some extent aware of the range and quality of his writings.	false	26.97	45.31	12
8842_302196_000010_000001	Nevertheless--or perhaps indeed it may have been partly on that very account--he did not in those opening years read Dante to any degree worth mentioning: he was well versed in Shakespeare, Walter Scott, Byron, and some other writers, years before he applied himself to Dante.	Nevertheless-or perhaps indeed it may have been partly on that very account-he did not in those opening years read Dante to any degree worth mentioning: he was well versed in Shakespeare, Walter Scott, Byron, and some other writers, years before he applied himself to Dante.	true	45.59	61.45	16
8842_302196_000010_000002	He may have been fourteen years of age, or even fifteen (May 1843), before he took seriously to the author of the _Divina Commedia_. He then read him eagerly, and with the profoundest admiration and delight; and from the _Commedia_ he proceeded to the lyrical poems and the _Vita Nuova_.	He may have been fourteen years of age, or even fifteen (may eighteen forty three), before he took seriously to the author of the underscore Divina Commedia underscore. He then read him eagerly, and with the profoundest admiration and delight; and from the underscore Commedia underscore he proceeded to the lyrical poems and the underscore Vita Nuova underscore.	false	61.61	78.27	17
8842_302196_000010_000003	I question whether he ever read--unless in the most cursory way--other and less fascinating writings of Alighieri, such as the _Convito_ and the _De Monarchia_.	I question whether he ever read-unless in the most cursory way-other and less fascinating writings of Alighieri, such as the underscore Convito underscore and the underscore De Monarchia underscore.	false	78.27	87.24	15
8842_302196_000011_000000	From reading, Rossetti went on to translating.	From reading, Rossetti went on to translating.	true	87.24	89.8	14
8842_302196_000011_000001	He translated at an early age, chiefly between 1845 and 1849, a great number of poems by the Italians contemporary with Dante, or preceding him; and, among other things, he made a version of the whole _Vita Nuova_, prose and verse.	He translated at an early age, chiefly between eighteen forty five and eighteen forty nine, a great number of poems by the Italians contemporary with Dante, or preceding him; and, among other things, he made a version of the whole underscore Vita Nuova underscore, prose and verse.	false	90.02	104.44	13
8842_302196_000011_000002	This may possibly have been the first important thing that he translated from the Italian: if not the first, still less was it the last, and it may well be that his rendering of the book was completed within the year 1846, or early in 1847.	This may possibly have been the first important thing that he translated from the Italian: if not the first, still less was it the last, and it may well be that his rendering of the book was completed within the year eighteen forty six, or early in eighteen forty seven.	false	104.63	118.57	14
