# READER	CHAPTER	BOOK
14	208	121
14	212	121
16	122827	47
16	122828	47
17	362	84
17	363	84
19	198	121
19	227	121
20	205	121
20	5360	3322
22	121140	1941
22	121148	1941
23	124439	345
25	123319	1080
25	88353	13029
26	495	376
26	496	376
27	123349	1468
27	124992	8318
28	12332	30970
29	123027	271
29	123032	271
29	126858	501
29	130413	18362
29	130626	308
30	4445	158
30	4447	158
31	121969	6054
31	121970	6054
31	121971	6054
31	121972	6054
32	21625	6754
32	21631	6754
32	21634	6754
32	4137	2046
36	16602	222
36	16603	222
37	214	121
37	215	121
37	225	121
38	121024	1184
39	121914	158
39	121915	158
39	121916	158
40	121026	1184
40	222	121
44	201	121
44	207	121
45	121050	1184
46	127996	1468
46	128001	1468
47	122796	1597
49	121052	1184
51	121055	1184
52	121057	1184
52	123202	51
54	121079	1184
54	121080	1184
55	121068	1184
55	121069	1184
56	1730	1399
56	1731	1399
56	1732	1399
56	1733	1399
57	121074	1184
57	121742	9301
58	121075	1184
58	121081	1184
60	121082	1184
61	70968	28700
61	70970	28700
62	121084	1184
64	73712	19771
64	76973	20087
64	76974	20087
65	121089	1184
65	122444	1257
65	125860	500
66	354	84
66	355	84
70	121127	1184
70	121130	1184
75	853	3429
75	854	3429
77	121518	1727
77	121526	1727
78	368	84
78	369	84
79	121541	1004
81	121543	1004
82	121544	1004
82	122859	45
83	11691	27771
83	3054	3154
83	9960	135
84	121123	1184
84	121550	1004
85	121551	1004
87	121553	1004
89	218	121
89	219	121
90	121085	1184
90	130566	11938
91	123498	62
91	123511	62
91	123521	62
91	123526	62
92	204	121
92	6488	6801
93	123172	9101
93	124557	24055
93	124558	24055
93	126208	153
93	126209	153
94	3791	1938
94	3792	1938
94	3793	1938
94	3794	1938
94	3795	1938
98	121658	5312
98	199	121
100	121669	5312
100	121674	5312
100	122655	1260
101	126859	501
101	126860	501
101	126861	501
102	129232	2944
103	1240	45
103	1241	45
104	123365	1468
104	129578	159
104	132091	8994
104	132092	8994
107	22885	93
107	22887	93
110	1	1023
110	2	1023
111	126265	12415
111	126277	12415
111	129000	17188
112	121671	5312
112	121727	1989
112	123215	51
112	123216	51
114	129317	730
114	129324	730
115	121720	1989
115	121896	14328
115	122944	4363
116	288045	6107
116	288046	6107
116	288047	6107
116	288048	6107
118	121721	1989
118	124588	6917
118	47824	10869
119	121722	1989
119	129513	83
119	129514	83
119	129515	83
121	121726	1989
121	123852	1041
121	123859	1041
